country,total_cases,new_cases,total_deaths,new_deaths,excess_mortality,hosp_patients,weekly_hosp_admissions,icu_patients,weekly_icu_admissions,stringency_index,reproduction_rate,total_tests,new_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,hospital_beds_per_thousand,human_development_index
Central African Republic,11498.380546075085,8.784414106939705,91.09215017064847,0.06427758816837315,,,,,,23.903476277372263,0.3707097007223942,87644.5294117647,,5.027370749636943,109.62623758571429,1198377.049180328,1209104.5,1140465.2592592593,189821.57692307694,12887.0,5098038.0,8.18331,14.298,53.8947,823.9821999999999,65.66651,5.8,1.0,0.387
Chad,5562.886803185438,4.381114903299204,158.35494880546077,0.11035267349260523,,,,,,36.31362226277373,0.6532469743589744,207780.45454545456,,3.3716974362641507,197.49501265414014,2227189.268656716,1033385.4,990011.0535714285,2711079.705882353,,18455319.0,14.656384,15.102,52.5254,1412.6708000000003,30.845234000000005,5.8,,0.394
Chile,3143032.3759954493,3073.696814562002,42744.20762229807,37.68412066021628,14.720239234449762,,1460.5983680870354,795.6642628205128,328.15832649712877,51.386925182481754,1.0454669599217987,15440941.120731708,48503.91829268292,9.38100832025641,21.724624344078144,40697137.673228346,14627146.969736842,13650670.617105262,12794450.659210525,83562.56666666667,19553032.0,26.297499,35.526,78.9435,25886.121,0.39505082,10.800000000000002,2.06,0.86
China,38758521.94880546,56530.76109215017,50941.75540386803,69.65793966989186,,,,,,73.31321167883212,1.0477812267657993,3154666666.6666665,,0.00906811160557927,262436.87695474084,2523942556.3235292,1259340570.212766,1200116638.7096775,667316003.7209302,5147424.471299093,1425179562.0,151.80525,38.534,78.2107,18187.842,0.0,10.6,4.31,0.788
Colombia,4548836.881683731,3637.2929465301477,105425.89931740615,81.18714448236632,23.213764705882355,,,,,50.66514598540146,0.9651916666666667,17041000.67471591,48984.641726618705,15.00253151142473,15.10700586061828,39406626.80747127,22865245.75,18024439.88580247,8393413.029411765,197216.89019607843,51737944.0,46.631767,31.181,72.8296,15616.752,6.036548,8.3,1.71,0.7580000000000001
Comoros,5990.4283276450515,5.181456200227531,122.726393629124,0.09101251422070535,,,,,,,0.6810123548046462,53258.0,,0.07047680422222222,2959.4061645833335,373026.64705882355,226787.26666666666,177373.03333333333,0.0,,834192.0,448.24933,20.102,63.4174,3245.7688,18.643723,11.7,,0.586
Congo,17736.295221843004,14.353811149032992,274.9852104664391,0.22127417519908987,,,,,,43.53104927007299,0.4531414314516129,391523.0,,0.06544316600000001,372.75,423502.4736842105,330930.1666666667,204322.96,0.0,1486.0,6035107.0,17.672348,18.202,63.518699999999995,3670.1997,35.357456,5.5,,0.593
Costa Rica,746411.1308304892,702.9146757679181,6364.485779294653,5.332195676905575,9.258541666666668,,,,,43.3070802919708,0.922050442477876,1178645.780368098,4512.300613496933,23.25942572128993,9.312966826535627,6289890.06185567,2840505.680412371,2436150.1914893617,1710777.2352941176,,5081765.0,99.52536,33.536,77.0232,22070.922,0.88261974,8.8,1.1,0.806
Croatia,808025.9357224118,767.1456200227532,11984.7212741752,10.679749715585894,11.906220095693781,933.091967403958,665.5409836065573,,,33.40400547445255,1.0473339548577036,1514374.4107424961,5153.412098298677,16.554917587275533,45.74156706840855,4142567.7745241583,1944489.4665676078,1790904.2512908778,795441.5,6813.157142857143,3907031.0,69.81828,44.611,77.5804,34302.348,0.3080042,4.8,5.54,0.878
Cuba,732451.5403868032,633.4823663253698,5693.311717861206,4.852104664391354,16.373055555555556,,,,,48.01255474452555,1.018870792079208,1525564.7468085107,11292.631130063966,2.40271628608742,128.52319874840086,33912901.81906077,9413532.648275862,8360785.943681318,7598991.488549618,59634.13354037267,11059821.0,106.54933,41.50500000000001,73.6829,,,7.6,5.33,0.764
Cyprus,373777.8680318544,403.0602957906712,833.4266211604096,0.8486916951080774,9.115071770334929,103.56670746634028,49.92857142857143,15.180929095354523,9.128440366972477,45.09606751824818,1.0097955621301775,7851153.921122994,39485.74832663989,1.342493250914324,253.023284497992,1046089.8021978022,480831.75925925927,422985.9542857143,273698.02702702704,6031.042253521126,1331376.0,144.08832,37.339,81.2033,44996.316,0.0053034704,8.6,3.4,0.907
